objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_001,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/walang-sugat-tolentino-philippin.jpg?raw=true,,,Walang Sugat,Dennis Faustino,1991,"A romantic drama detailing the forbidden love between Tenyong and Julia, which is hindered by her mother's desire for her to marry a rich man, amidst the backdrop of war and national liberation",Theater,Cultural Center of the Philippines (CCP),14.557,-120.9845,,,Image;StillImage,image/jpeg,fil,,
demo_002,,I52TcTRzUCE,,Malvarosa,Dr. Gregorio Fernandez,1958-05-19,"Rosa's alcoholic father meets with an accident and her mother slumps into depression. She taken on the responsibility for raising her five brothers, at the cost of her wedding.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;MovingImage,video/mp4,fil,,
demo_003,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/Ang%20Paglalakbay%20ni%20Radiya%20Mangandiri.jpg?raw=true,,,Ang Paglalakbay ni Radiya Magandiri,Soxy Topacio,1993,"Subtitled Isang Pilipinong Ramayana, was based on an old Maranao version of the Indian epic. Peta production of it underlined the Philippines ancient cultural connections to the Asian heartland. According to scholar and playwright Nicanor Tiongson, Through imaginative use of ethnic movements and music, Peta Mangandiri succeeded in raising crucial questions about the nature and direction of leadership, seven years after the fall of the Philippine Lawana, the Marcos dictatorship in 1986.",Theater,Philippine Educational Theater Association (PETA),14.6202,-121.0325,,,Image;StillImage,image/jpeg,fil,,
demo_004,,iGaTWLk2w7w,,Ang Larawan,Rolando Tinio,1997,"Rolando Tinio’s swan song was this play, a musical version of Nick Joaquin’s A Portrait of the Artist as Filipino, generally regarded as the most important Filipino play, now set to Ryan Cayabyab’s soaring, melancholy melodies, with translation and direction duties by Tinio himself. Celeste Legaspi played Candida, Zsa Zsa Padilla was Paula and Ricky Davao was Tony Javier; also in the cast were Hajji Alejandro, Louie Reyes, Fides Cuyugan Asencio, Armida Siguion-Reyna, Dawn Zulueta, Tinio died a few days before Larawan opening, making this essential musical his last masterwork.",Theater,Cultural Center of the Philippines (CCP),14.557,-120.9845,,,Image;MovingImage,video/mp4,fil,,
demo_005,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/dalagang-bukid-ignacio-philippin.jpg?raw=true,,,Dalagang Bukid,"Felix ""Nonon"" Padilla",1987,"The collapse of the old order ushered in new configurations at Imelda’s old playground, the Cultural Center of the Philippines. The erstwhile resident theater companies, Rolando Tinio Teatro Pilipino and Tony Espejo’s Bulwagang Gantimpala, were eased out, replaced by a new company Tanghalang Pilipino, with Nonon Padilla as artistic director. TP inaugural show was a revival of the sarsuwela Dalagang Bukid, which reminded the public about pioneering sarsuwela queen Atang de la Rama, also the Philippines’ first film actress; that year, she would be conferred the National Artist Award for Theater.",Theater,Cultural Center of the Philippines (CCP),14.557,-120.9845,,,Image;StillImage,image/jpeg,,,
demo_006,,KAHxsB3aXFY,,Balweg,Butch Perez,1987-07-08,A biographical action film centering on the life of Father Conrado Balweg and the revolutionary struggles in the Cordillera.,Film,"Cordillera Region, Philippines",17.025,-121.15,,,Image;MovingImage,video/mp4,,,
demo_007,,W3Dd0enh2j0,,Minsa'y Isang Gamu-Gamo,Philippine Educational Theater Association (PETA),1991,"Nora Aunor takes center stage at PETA in Minsa'y Isang Gamu-Gamo, portraying a young Filipino nurse in pursuit of the American dream. This special coverage by The Probe Team offers an intimate look at Nora’s return to the theater and her powerful portrayal of a nation’s hopes and heartbreak.",Theater,Philippine Educational Theater Association (PETA),14.6202,-121.0325,,,Image;MovingImage,video/mp4,,,
demo_008,,,1383607793045491,Noli Me Tangere,"Felix ""Nonon"" Padilla",1995,"An operatic musical tracing the tragic homecoming of Crisostomo Ibarra, an idealistic young reformist who returns to the Philippines after studying in Europe. He seeks to build a modern school for his townspeople and marry his childhood sweetheart, Maria Clara. However, his noble efforts are systematically crushed by the tyrannical Friar Damaso, who frames Ibarra for an orchestrated anti-colonial rebellion. Stripped of his wealth, excommunicated from the church, and forced into a dangerous river escape with the fugitive Elias, Ibarra is left for dead. Maria Clara, believing her lover is killed and forced to hide a scandalous family secret, refuses an arranged marriage and locks herself away permanently inside a secluded convent.",Theater,Cultural Center of the Philippines (CCP),14.557,-120.9845,,,Image;MovingImage,video/mp4,,,
demo_009,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/1869.jpg?raw=true,,,1869,Soxy Topacio,1995,"Peta’s thundering musical production, music by Lucien Letaba, libretto by Charley de la Paz, staged in the run-up to the Philippine centennial celebrations in 1998 and rerun a number of times after, starred Rody Vera as Andres Bonifacio, Ariel Rivera as Emilio Jacinto and Bodjie Pascua as Emilio Aguinaldo. It was, in the words of political commentator Manuel L. Quezon III, the highlight of the Centennial celebrations and a musical I wish would be constantly performed.",Theater,"UP Theater, UP Diliman Campus, Quezon City",14.6521,-121.0664,,,Image;StillImage,image/jpeg,,,
demo_010,,KmMlMor-OlY,,Rama at Sita,Leo Rialp,1999,"An independent production, Rama at Sita is still remembered by many theatergoers as the most lavish theater production they have ever seen. The musical, which combined the Cayabyab-Lumbera libretto from Ballet Philippines’ “Rama, Hari” with new music by Danny Tan, Roy Iglesias and Dodjie Simon, spared no expense, from its opulent costumes and sets. At one point, a full-size elephant ambled its way to the stage carrying a resplendent Rama, played by Ariel Rivera. To its star-studded cast that included Lani Misalucha, Raymond Lauchengco, Robert Seña, Jaya, Nonie Buencamino, Franco Laurel, Pinky Marquez.",Theater,"UP Theater, UP Diliman Campus, Quezon City",14.6521,-121.0664,,,Image;MovingImage,video/mp4,,,
demo_011,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/sakay.jpg?raw=true,,,Sakay,Raymond Red,1993,"An acclaimed historical film depicting the life of Macario Sakay, a general who fought in the Philippine-American War.",Film,Philippines,12.8797,-121.774,,,Image;StillImage,image/jpeg,,,
demo_012,,xx_gMne9bsU,,Matandang Dalaga,Olive La Torre,1954,"Carmen was about to get married and was on her way to church when Rosa Mia begged her not to go ahead with the wedding because Carmen was going to marry her husband, but the latter still insisted on his love for her fiancé until a letter was delivered saying that the wedding was no longer going ahead. Since then, Carmen has become so stubborn and distrustful of men that she even hinders the love between her sister Myrna Delgado and Ramon Revilla. Serialized in Bulaklak Magazine. ",Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;MovingImage,video/mp4,,,
demo_013,,j7ilmWDAIRE,,Balisong,Conrado Conde,1955,A deadly weapon in the hand of a fiery woman only one man could tame it’s fast-streaking fury.,Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;MovingImage,video/mp4,,,
demo_014,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/sugapa.jpg?raw=true,,,Sa Piling ng mga Sugapa,Gil Portes,1977-12-24,"A gritty social drama tackling contemporary domestic issues, directed by acclaimed filmmaker Gil Portes.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;StillImage,image/jpeg,,,
demo_015,,Rx_wKDkKwf0,,Hihintayin Kita,Artemio B. Tecson,1952-08-28,"A solider joins the guerilla and is tasked to woe the daughter of a man who has ties with Japanese forces and and gather intel but he falls in love with her. They both get married but the woman and her father gets into an accident, so the man leaves for Manila and falls in love with doctor. Fate lead the doctor and the woman to meet.",Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;MovingImage,video/mp4,,,
demo_016,,TKyEtugcfdM,,"Bata, Bata Pa'no Ka Ginawa?",Chito S. Roño,1998-09-09,"Based on the acclaimed novel of Lualhati Bautista, this film looks into the life of women's rights advocate Lea Bustamante (Vilma Santos), who has two children from different fathers. She finds herself at a crossroads when her children's fathers propose taking their kids with them. She then decides to let her children choose who they want to stay with. Released in 1998 and directed by Chito S. Roño.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;MovingImage,video/mp4,,,
